IL_09705.1		Double sheared	Double sheared	sree	2021-03-23
IL_09705.7		Double sheared	Double sheared	zirbel	2022-09-27
IL_09705.9		Double sheared	Double sheared	zirbel	2024-05-29
IL_09705.12		Double sheared	Double sheared	zirbel	2024-12-20
IL_09705.7	IL_5J7L_327,IL_4WF9_054	Other IL		zirbel	2022-09-26
IL_09705.9	IL_5TBW_135,IL_8C3A_141,IL_8T29_001        	Double sheared; A in syn	Double sheared	zirbel	2024-05-31
IL_09705.13		Double sheared	Double sheared	zirbel	2025-03-11
IL_09705.13	IL_8P9A_362	Double sheared; A in syn	Double sheared	zirbel	2025-03-11
IL_09705.15		Double sheared	Double sheared	zirbel	2025-06-23
IL_74719.1		Double sheared	Double sheared	zirbel	2021-03-23
IL_10484.1		Double sheared	Double sheared	zirbel	2024-06-11
IL_17948.2		Double sheared with non-canonical cWW	Double sheared	zirbel	2025-07-29
IL_17948.2	IL_1U6B_002,IL_5J7L_274,IL_4WFL_001,IL_5J7L_338,IL_7A0S_087,IL_4WF9_093,IL_4V9F_085,IL_5J7L_056	Double sheared with non-canonical cWW	Double sheared	zirbel	2025-07-29
IL_17948.2	IL_6ZDP_003	Other IL	Double sheared	zirbel	2025-07-29
IL_17948.2	IL_7A0S_056	Double sheared with near cWW	Double sheared	zirbel	2025-07-29
IL_56467.1		Triple sheared		zirbel	2021-03-23
IL_56467.1	IL_4IOA_012,IL_4WF9_019,IL_4Y4O_193,IL_5J7L_258,IL_4V9F_020,IL_7A0S_013	AAA cross-strand stack		zirbel	2022-09-27
IL_56467.6	IL_7RQB_016	AAA cross-strand stack		zirbel	2022-09-27
IL_56467.2		Triple sheared		zirbel	2021-03-23
IL_56467.6		Triple sheared		zirbel	2022-02-04
IL_56467.6	IL_4WF9_084	Other IL		zirbel	2022-02-04
IL_56467.8		Triple sheared		zirbel	2024-06-11
IL_96141.1		Triple sheared		zirbel	2024-06-11
IL_55896.1		Triple sheared		zirbel	2024-06-11
IL_95716.2		Triple sheared		zirbel	2025-02-18
IL_50730.2		Triple sheared		zirbel	2025-06-23
IL_05062.1		Triple sheared related	Triple sheared	zirbel	2022-10-11
